Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Mes,Valor,Fecha
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Privación ilegal de la libertad,Privación ilegal de la libertad,Privación ilegal de la libertad,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Rapto,Rapto,Rapto,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Secuestro,Secuestro con calidad de rehén,Secuestro con calidad de rehén,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Secuestro,Secuestro exprés,Secuestro exprés,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Secuestro,Secuestro extorsivo,Secuestro extorsivo,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Secuestro,Secuestro para causar daño,Secuestro para causar daño,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Delitos contra la administración de justicia,Delitos contra la administración de justicia,Delitos contra la administración de justicia,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo con fines de venta,Narcomenudeo con fines de venta,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo posesión simple,Narcomenudeo posesión simple,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Suplantación y usurpación de identidad,Suplantación y usurpación de identidad,Suplantación y usurpación de identidad,Enero,0,2026-01-01
2026,26,Sonora,26001,Aconchi,Otros bienes jurídicos afectados (del fuero común),Tortura,Tortura,Tortura,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,Enero,6,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Despojo,Despojo,Despojo,Enero,1,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Extorsión,Extorsión por otros medios,Extorsión por otros medios,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Extorsión,Extorsión presencial,Extorsión presencial,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Extorsión,Tentativa de extorsión por otros medios,Tentativa de extorsión por otros medios,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Extorsión,Tentativa de extorsión presencial,Tentativa de extorsión presencial,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Fraude,Fraude,Fraude,Enero,1,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Otros robos,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Otros robos,Sin violencia,Enero,1,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a casa habitación,Con violencia,Enero,1,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a casa habitación,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a institución bancaria,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a negocio,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a negocio,Sin violencia,Enero,2,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a transportista,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo a transportista,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de autopartes,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de autopartes,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de ganado,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de ganado,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Sin violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Con violencia,Enero,0,2026-01-01
2026,26,Sonora,26002,Agua Prieta,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,Enero,2,2026-01-01
