Municipio,Año,Subtipo de delito,Sexo,Rango de edad,Valor
Altar,2026,Otros delitos contra el patrimonio,Hombre,18 a 29 años,1
Altar,2026,Otros delitos contra el patrimonio,No identificado,No especificado,1
Altar,2026,Otros delitos del Fuero Común,No identificado,No especificado,3
Altar,2026,Otros delitos que atentan contra la libertad personal,Hombre,Más de 60 años,1
Altar,2026,Otros delitos que atentan contra la libertad y la seguridad sexual,Hombre,0 a 12 años,1
Altar,2026,Privación ilegal de la libertad,Hombre,30 a 60 años,1
Altar,2026,Robo de vehículo automotor - Coche de 4 ruedas,Hombre,18 a 29 años,1
Altar,2026,Robo de vehículo automotor - Coche de 4 ruedas,Mujer,30 a 60 años,1
Altar,2026,Tentativa de homicidio doloso,Hombre,No especificado,1
Arivechi,2026,Incumplimiento de obligaciones de asistencia familiar,Hombre,13 a 17 años,1
Arivechi,2026,Otros robos,Mujer,30 a 60 años,1
Arizpe,2026,Aborto,No identificado,No especificado,0
Arizpe,2026,Abuso de confianza,No identificado,No especificado,0
Arizpe,2026,Abuso sexual,No identificado,No especificado,0
Arizpe,2026,Acoso sexual,No identificado,No especificado,0
Arizpe,2026,Allanamiento de morada,No identificado,No especificado,0
Arizpe,2026,Amenazas,No identificado,No especificado,0
Arizpe,2026,Contra el medio ambiente,No identificado,No especificado,0
Arizpe,2026,Corrupción de menores,No identificado,No especificado,0
Arizpe,2026,Daño a la propiedad,No identificado,No especificado,0
Arizpe,2026,Delitos cometidos por servidores públicos,No identificado,No especificado,0
Arizpe,2026,Delitos contra la administración de justicia,No identificado,No especificado,0
Arizpe,2026,Despojo,No identificado,No especificado,0
Arizpe,2026,Discriminación,No identificado,No especificado,0
Arizpe,2026,Electorales,No identificado,No especificado,0
Arizpe,2026,Evasión de presos,No identificado,No especificado,0
Arizpe,2026,Extorsión por otros medios,No identificado,No especificado,0
Arizpe,2026,Extorsión presencial,No identificado,No especificado,0
Arizpe,2026,Falsedad,No identificado,No especificado,0
Arizpe,2026,Falsificación,No identificado,No especificado,0
Arizpe,2026,Feminicidio,No identificado,No especificado,0
Arizpe,2026,Fraude,No identificado,No especificado,0
Arizpe,2026,Homicidio culposo,No identificado,No especificado,0
Arizpe,2026,Homicidio doloso,No identificado,No especificado,0
Arizpe,2026,Hostigamiento sexual,No identificado,No especificado,0
Arizpe,2026,Incesto,No identificado,No especificado,0
Arizpe,2026,Incumplimiento de obligaciones de asistencia familiar,No identificado,No especificado,0
Arizpe,2026,Lesiones culposas,No identificado,No especificado,0
